Pros,Cons,Pros_topics,Cons_topics
"Good employee benefits, good intra company oppurtunities, great place to work",Processes are yet to be streamlined. A lot of teams work on silos,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Nice environment and the work timings is great,No cons nice company to work,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Good benfits and helps you grow in always,Nothing that i feel at the moment,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
"You get the ownership of your work, you get full autonomy, and your ideas are heard.","As Uber shifts towards becoming a mature company from a start-up, there is an increase in the TAT for decision making process. More documentation is required. The money spent in trying new things needs to be used with caution.",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Great team, culture, autonomy to employees, supportive managers and transparent policies",None I can think of within three months of my employement,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Extremely Friendly and Humble people with an excellent company culture,As an Intern cannot find any fault with the company,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Culture, Career growth, Flexibility, Flat Hierarchy and Helpful peers &amp; Managers","Office politics, favouritism are two cons I can think of",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Low gender wage gap in entry-level and mid-management roles,Almost a 7 day work week,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Company Culture is really nice.,Full-time Employees can make you feel unwanted at times.,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Uber has an amazing work culture and amazing benefits for employees. The work life balance is good too. Got to interact with various teams while working on projects.,Location outside of bangalore city.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Best work environment,  great people and feels like to be part of something big.",Not yet experienced any now,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Unmatched employee benefits,Good working ambeince, Good facilities.",The external and internal payroll difference is kind of playing politics and hurting people sentiments.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Flat hierarchy. Benefits are good. Food in the office is very good. Growing organization.,As of now nothing as i haven't noticed anything yet.,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Nice experience easily accessible and easily learning,There is no structure defined for work. One has to figure out by themselves.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
It's a good company to grow my career ...,1. Too much work for an individual,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"Early it gives good business but slowly slowly it cut all benefits like boost ,surge and incentives per trips. So, working forcefully to pay my  pending cars EMI",Net earning reduces to 12 / month,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Compensation, Benefits, Flexibility. Nothing else to add","No learning, Biased managers, No Meritocracy, Disgraceful Integrity of leadership. All gyaan and no action by management",things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"The Work Environment is really Nice, No formal clothing and all, you can even go to office in a jeans and a tee, all employees are provided with MACBOOK and Iphone to work",They could have a more comprehensive training process for lateral hires.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Flexible time with friendly work environment,You can expect sudden work calls which can be hectic at times.,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"Good working environment, flexible working hours.",Less opportunities for the growth,income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
Great salary and benefits. Decent work life balance. Get a chance to do things at scale,Extreme centralization to decisions and only data driven attitude leads to delay/ inappropriate decision making.,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
Work environment is very good,Being a remote location does have an impact in ability to contribute.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Can enhance your  qualities,Its a 3rd party pay roll,growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
The benefits are awesome and the kind of opportunities available are one of the best in all over India,Poor management at higher level,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Good  learning experience from seniors and managers,Management is worst. If you know how to play politics then this is the organization for you. Senior managers are dumb. The don't know how to treat their employees. If they want then can fired you with the reason of COST CUTTING. UBER is University of office politics,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
No positives. They don't care for business partners,"1. Even though the work is good, ownership of core components lacks , but i think thats changing slowly with addition of new charters at the site",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
Good office and nice food managers are very friendly and good work life balance,Growth constraint in terms of promotion,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Employee liberty and Employee centric organisation with lot of benefits to staff which is good but there was no control over it hence misuse may happen.,Worst helpline/call center/email compliant system,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
work environment is good but should bare with politics in the office,Less salary hikes no recognition for hard work,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Positive leadership attitude. Team builders. Excellent work life balance.,"Should also have stringent HR guidelines when lot of liberty given to resources, there is a possibility of misuse at Uber policies, people try to play around so need to mitigate the same HR guidelines to be little stringent.",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
I'm uber cab driver is the best job..daily customer pic nd droop..,less salary hikes and they need to intract with the employess to have better work life balance.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Strong work culture and ownership,Heavy Politics at the workplace,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
No Pros only Cons here,"work as an external agency, no company benefits",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
Young generation managers are working here,"Nothing As like that, everybody friendly",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Its freedom job i m own boss,Keep maintIn the time off food delivery,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
"In the beginning you will learn a lot. Process management, people management, how to interact with different people, corporate etiquette, your analytical skills will also improve, listening skills etc.- overall your personality will develop.","Tech savvy guys, please donot apply. A time/point will come, where your learning curve will stop (after around 2 months). It depends on managers as well, if you are working under good managers, well and fine else you will start losing interest. Overall its will be an average experience. Guys with very good technical and analytical skills should not apply; rather I would suggest hardcore engineering candidates with huge...",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Values, Culture, Ethics, Friendly, No dress Code",There's nothing bad about Uber.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Good Work culture, Good Food. awesome team. Great opportunities.",Initial Learning is bit slow,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Good Work culture, Good Food. awesome team. Great opportunities.",Learning is little slow in the beginning.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Good environment to work. Very helpful Managers.,The gap between full time and contractual employees has increased over the years.,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Excellent team, impactful work, good long term potential",limited growth opportunity  even my manager is shifting from Mumbai to some other location,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Perks and pay growth is considerable,"growing pains with organisation, will be ironed out in time",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Growth opportunities are wonderful here.,Rational shifts are not so healthy.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Peer learning is good, and food too.",Work varies from very good to a little boring,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Great work environment. Less work pressure,No scope for growth. Personal or financial,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"All other companies say that they value their employees but dont stand on it, on the other hand uber really cares for their employees and make them feel like you can achieve your goals.","As a new company, there's much to be streamlined internally in uber",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
A new Company so the learning and growth is immense.,"Lacks Management but will be fine after few years. They just started, Learning and development is a part of the process.",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Best facility to work and get enough time without stress.,Nothing much but contractual employees are not taken good care of.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Not Applicable because there is aint any,No growth prospect and too much politics. Immature managers. Life risk work and too many protest,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Good culture and free food,stagnant growth and fixed working hours,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
Good culture and lot of scope to improve.,Can't able to waste my time in listing the cons..They are unlimited...,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
Good company culture. You'll make good contacts and get a chance to interact with management often.,It will be too early to comment.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Its the best place to work in Hyderabad,Nothing i can think of.,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
